frame,t_s,panel,host,area_m2,nu,cos_sun,sun_visible,e_direct_wm2,e_earth_wm2,e_other_wm2,e_total_wm2,p_w,e_earth_r_wm2,e_earth_g_wm2,e_earth_b_wm2
21,1330.000000,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,1330.000000,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,1330.000000,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,1393.333333,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,1393.333333,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,1393.333333,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,1456.666667,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,1456.666667,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,1456.666667,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,1520.000000,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,1520.000000,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,1520.000000,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,1583.333333,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,1583.333333,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,1583.333333,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,1646.666667,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,1646.666667,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,1646.666667,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
