# Generated by matlabSample/mainHCW.m
# Osculating Keplerian elements (chief: GEO circular equatorial)
# Columns match mRendering orbit_mechanics.CsvEphemeris.
time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad
17060,42164,0,0,0,0,1.24404247195425
17070,42164,0,0,0,0,1.24477168794016
17080,42164,0,0,0,0,1.24550090392606
17090,42164,0,0,0,0,1.24623011991197
17100,42164,0,0,0,0,1.24695933589787
17110,42164,0,0,0,0,1.24768855188378
17120,42164,0,0,0,0,1.24841776786968
17130,42164,0,0,0,0,1.24914698385559
17140,42164,0,0,0,0,1.24987619984149
17150,42164,0,0,0,0,1.2506054158274
17160,42164,0,0,0,0,1.2513346318133
17170,42164,0,0,0,0,1.25206384779921
17180,42164,0,0,0,0,1.25279306378511
17190,42164,0,0,0,0,1.25352227977102
17200,42164,0,0,0,0,1.25425149575692
17210,42164,0,0,0,0,1.25498071174283
17220,42164,0,0,0,0,1.25570992772873
17230,42164,0,0,0,0,1.25643914371464
17240,42164,0,0,0,0,1.25716835970054
17250,42164,0,0,0,0,1.25789757568645
17260,42164,0,0,0,0,1.25862679167236
17270,42164,0,0,0,0,1.25935600765826
17280,42164,0,0,0,0,1.26008522364417
17290,42164,0,0,0,0,1.26081443963007
17300,42164,0,0,0,0,1.26154365561598
17310,42164,0,0,0,0,1.26227287160188
17320,42164,0,0,0,0,1.26300208758779
17330,42164,0,0,0,0,1.26373130357369
17340,42164,0,0,0,0,1.2644605195596
17350,42164,0,0,0,0,1.2651897355455
17360,42164,0,0,0,0,1.26591895153141
17370,42164,0,0,0,0,1.26664816751731
17380,42164,0,0,0,0,1.26737738350322
17390,42164,0,0,0,0,1.26810659948912
17400,42164,0,0,0,0,1.26883581547503
17410,42164,0,0,0,0,1.26956503146093
17420,42164,0,0,0,0,1.27029424744684
17430,42164,0,0,0,0,1.27102346343274
17440,42164,0,0,0,0,1.27175267941865
17450,42164,0,0,0,0,1.27248189540455
17460,42164,0,0,0,0,1.27321111139046
17470,42164,0,0,0,0,1.27394032737636
17480,42164,0,0,0,0,1.27466954336227
17490,42164,0,0,0,0,1.27539875934817
17500,42164,0,0,0,0,1.27612797533408
17510,42164,0,0,0,0,1.27685719131998
17520,42164,0,0,0,0,1.27758640730589
17530,42164,0,0,0,0,1.2783156232918
