# Generated by matlabSample/mainHCW.m
# Osculating Keplerian elements (chief: GEO circular equatorial)
# Columns match mRendering orbit_mechanics.CsvEphemeris.
time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad
34200,42164.0035248366,0.000118602318824693,0.000237183408479612,4.71243755213226,4.71184714849623,5.6360986851168
34210,42164.0035264806,0.000118602367576589,0.00023718343141584,4.71243768380608,4.71184701579435,5.63682804010498
34220,42164.0035281278,0.000118602416421607,0.000237183455288237,4.71243781569772,4.71184688311225,5.63755739493156
34230,42164.0035297783,0.000118602465359447,0.000237183478692546,4.71243794780719,4.71184675045194,5.63828674959446
34240,42164.0035314322,0.00011860251439044,0.000237183502096853,4.7124380801345,4.71184661781234,5.63901610409466
34250,42164.0035330894,0.000118602563514569,0.00023718352643733,4.71243821267966,4.71184648519677,5.63974545842876
34260,42164.0035347499,0.000118602612732198,0.000237183549841632,4.7124383454427,4.71184635260532,5.64047481259659
34270,42164.0035364138,0.000118602662043376,0.000237183573245932,4.71243847842361,4.7118462200375,5.64120416659854
34280,42164.0035380809,0.000118602711447549,0.000237183596650229,4.71243861162241,4.711846087497,5.64193352043084
34290,42164.0035397515,0.000118602760945565,0.000237183620990696,4.71243874503912,4.71184595498259,5.64266287409465
34300,42164.0035414254,0.000118602810536771,0.000237183643926903,4.71243887867374,4.71184582249757,5.64339222758656
34310,42164.0035431025,0.000118602860221446,0.000237183667799279,4.71243901252629,4.71184569004564,5.6441215809028
34320,42164.0035447831,0.000118602910000275,0.000237183690735482,4.71243914659678,4.7118455576195,5.64485093405057
34330,42164.003546467,0.00011860295987255,0.000237183715544025,4.71243928088522,4.71184542522569,5.64558028702327
34340,42164.0035481543,0.000118603009838885,0.000237183738948308,4.71243941539163,4.71184529286752,5.64630963981747
34350,42164.0035498449,0.000118603059899379,0.000237183762352589,4.71243955011602,4.71184516054017,5.64703899243791
34360,42164.0035515389,0.000118603110053307,0.000237183785756868,4.71243968505841,4.71184502824845,5.64776834487971
34370,42164.0035532362,0.000118603160301364,0.000237183810097315,4.71243982021876,4.71184489599517,5.64849769714
34380,42164.0035549369,0.000118603210643869,0.00023718383350159,4.71243995559697,4.7118447637766,5.64922704922255
34390,42164.003556641,0.000118603261080679,0.000237183856905861,4.71244009119313,4.71184463159731,5.64995640112262
34400,42164.0035583484,0.00011860331161132,0.000237183880310131,4.71244022700729,4.71184449945846,5.65068575283892
34410,42164.0035600592,0.000118603362236306,0.000237183904182483,4.71244036303953,4.71184436735958,5.65141510437179
34420,42164.0035617734,0.000118603412955599,0.000237183928054833,4.7124404992899,4.71184423530223,5.65214445571952
34430,42164.003563491,0.000118603463770048,0.000237183951459096,4.71244063575846,4.71184410328524,5.65287380688315
34440,42164.0035652119,0.000118603514678504,0.000237183975799526,4.71244077244526,4.71184397131428,5.65360315785689
