# Generated by matlabSample/mainHCW.m
# HCW relative motion (radial, along-track, cross-track) [km], identity attitude
time_s,x,y,z,qx,qy,qz,qw
69060,1.58979797061156,19.4810426453989,3.17959594122312,0,0,0,1
69070,1.59325441154081,19.4787215126162,3.18650882308164,0,0,0,1
69080,1.59671000524741,19.4763953394673,3.19342001049484,0,0,0,1
69090,1.60016474989388,19.4740641271891,3.20032949978777,0,0,0,1
69100,1.60361864364319,19.471727877021,3.20723728728639,0,0,0,1
69110,1.60707168465877,19.4693865902055,3.21414336931755,0,0,0,1
69120,1.61052387110451,19.4670402679875,3.22104774220903,0,0,0,1
69130,1.61397520114474,19.4646889116146,3.22795040228948,0,0,0,1
69140,1.61742567294424,19.4623325223371,3.2348513458885,0,0,0,1
69150,1.62087528466827,19.459971101408,3.24175056933655,0,0,0,1
69160,1.62432403448252,19.4576046500831,3.24864806896504,0,0,0,1
69170,1.62777192055313,19.4552331696206,3.25554384110626,0,0,0,1
69180,1.6312189410467,19.4528566612816,3.26243788209342,0,0,0,1
69190,1.6346650941303,19.4504751263299,3.2693301882606,0,0,0,1
69200,1.63811037797142,19.4480885660317,3.27622075594285,0,0,0,1
69210,1.6415547907382,19.4456969816561,3.2831095814764,0,0,0,1
69220,1.64499833059948,19.4433003744745,3.28999666119898,0,0,0,1
69230,1.64844099572397,19.4408987457614,3.29688199144794,0,0,0,1
69240,1.65188278428077,19.438492096794,3.30376556856156,0,0,0,1
69250,1.65532369443953,19.4360804288522,3.31064738887906,0,0,0,1
69260,1.65876372437033,19.4336637432184,3.31752744874067,0,0,0,1
69270,1.66220287224378,19.431242041178,3.32440574448757,0,0,0,1
69280,1.66564113623096,19.4288153240188,3.33128227246194,0,0,0,1
69290,1.66907851450345,19.4263835930311,3.33815702900691,0,0,0,1
69300,1.67251500523331,19.4239468495083,3.34503001046662,0,0,0,1
69310,1.67595060659308,19.421505094746,3.35190121318616,0,0,0,1
69320,1.6793853167558,19.4190583300428,3.35877063351161,0,0,0,1
69330,1.68281913389501,19.4166065566997,3.36563826779003,0,0,0,1
69340,1.68625205618472,19.4141497760206,3.37250411236944,0,0,0,1
69350,1.68968408179943,19.4116879893117,3.37936816359886,0,0,0,1
69360,1.69311520891414,19.4092211978823,3.38623041782828,0,0,0,1
69370,1.69654543570432,19.4067494030439,3.39309087140866,0,0,0,1
69380,1.69997476034596,19.4042726061111,3.39994952069193,0,0,0,1
69390,1.70340318101551,19.4017908084009,3.40680636203103,0,0,0,1
69400,1.70683069588992,19.3993040112328,3.41366139177984,0,0,0,1
69410,1.71025730314661,19.3968122159293,3.42051460629324,0,0,0,1
69420,1.71368300096353,19.3943154238154,3.42736600192708,0,0,0,1
69430,1.71710778751909,19.3918136362187,3.43421557503818,0,0,0,1
69440,1.72053166099218,19.3893068544696,3.44106332198436,0,0,0,1
69450,1.72395461956219,19.3867950799009,3.44790923912439,0,0,0,1
69460,1.72737666140902,19.3842783138483,3.45475332281804,0,0,0,1
69470,1.73079778471301,19.3817565576501,3.46159556942604,0,0,0,1
69480,1.73421798765505,19.3792298126471,3.4684359753101,0,0,0,1
69490,1.73763726841646,19.376698080183,3.47527453683292,0,0,0,1
69500,1.74105562517908,19.374161361604,3.48211125035817,0,0,0,1
69510,1.74447305612524,19.371619658259,3.48894611225048,0,0,0,1
69520,1.74788955943774,19.3690729714995,3.4957791188755,0,0,0,1
69530,1.7513051332999,19.3665213026797,3.5026102665998,0,0,0,1
69540,1.75471977589549,19.3639646531564,3.50943955179099,0,0,0,1
69550,1.75813348540879,19.3614030242892,3.5162669708176,0,0,0,1
69560,1.76154626002458,19.3588364174401,3.52309252004917,0,0,0,1
69570,1.7649580979281,19.3562648339741,3.52991619585621,0,0,0,1
69580,1.7683689973054,19.3536882752584,3.53673799461081,0,0,0,1
69590,1.77177895634304,19.3511067426626,3.54355791268608,0,0,0,1
69600,1.77518797322751,19.3485202375599,3.55037594645503,0,0,0,1
69610,1.77859604614584,19.3459287613256,3.55719209229169,0,0,0,1
69620,1.78200317328558,19.343332315338,3.56400634657117,0,0,0,1
69630,1.7854093528348,19.3407309009779,3.5708187056696,0,0,0,1
69640,1.78881458298208,19.3381245196287,3.57762916596417,0,0,0,1
69650,1.79221886191656,19.3355131726764,3.58443772383313,0,0,0,1
69660,1.79562218782787,19.3328968615097,3.59124437565575,0,0,0,1
69670,1.79902455890618,19.33027558752,3.59804911781238,0,0,0,1
69680,1.80242597334219,19.3276493521012,3.60485194668439,0,0,0,1
69690,1.80582642932711,19.3250181566497,3.61165285865423,0,0,0,1
69700,1.80922592505269,19.3223820025649,3.61845185010538,0,0,0,1
69710,1.81262445871118,19.3197408912485,3.62524891742237,0,0,0,1
69720,1.81602202849538,19.3170948241049,3.63204405699078,0,0,0,1
69730,1.81941863259861,19.3144438025412,3.63883726519723,0,0,0,1
69740,1.82281426921471,19.3117878279672,3.64562853842942,0,0,0,1
69750,1.82620893653803,19.3091269017951,3.65241787307607,0,0,0,1
69760,1.82960263276347,19.3064610254398,3.65920526552695,0,0,0,1
69770,1.83299535608644,19.303790200319,3.6659907121729,0,0,0,1
69780,1.83638710470288,19.3011144278529,3.67277420940577,0,0,0,1
69790,1.83977787680925,19.2984337094642,3.67955575361851,0,0,0,1
69800,1.84316767060254,19.2957480465784,3.68633534120508,0,0,0,1
69810,1.84655648428025,19.2930574406236,3.69311296856051,0,0,0,1
69820,1.84994431604042,19.2903618930305,3.69988863208086,0,0,0,1
69830,1.85333116408162,19.2876614052325,3.70666232816325,0,0,0,1
69840,1.85671702660293,19.2849559786654,3.71343405320586,0,0,0,1
69850,1.86010190180394,19.2822456147679,3.7202038036079,0,0,0,1
