time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad,q1,q2,q3,q4
20,6787.73084435292,0.000592550426587484,1.6934974914444,6.28035428724165,6.33655091314625,-0.0319671928649885,0.325509874741306,0.603451059496405,0.67152315700849,0.280974713879945
21,6787.72985932891,0.000592458343992566,1.69349748649008,6.28035428713203,6.33928435371685,-0.0335703263412431,0.309657168158399,0.614424370427676,0.690794098586239,0.222258058551541
22,6787.72882515209,0.000592361614277982,1.69349748197207,6.28035428702692,6.34201849066435,-0.0351741562270593,0.291674978715702,0.62178325219667,0.708317080705992,0.163089568210442
23,6787.72774182778,0.000592260239220778,1.69349747789007,6.28035428692732,6.34475335756691,-0.0367787161021509,0.271818850555253,0.625415548466674,0.724027563834649,0.103701451419993
24,6787.72660936243,0.00059215422081697,1.69349747424383,6.28035428683419,6.34748898829721,-0.0383840398407487,0.250355762551201,0.62523756973337,0.737858772541613,0.0443216125011294
25,6787.72542776384,0.000592043561308703,1.69349747103328,6.28035428674853,6.35022541697029,-0.0399901615594447,0.227561813961809,0.621194593125823,0.749741996445195,-0.0148269033863013
26,6787.72419704105,0.000591928263178009,1.69349746825855,6.28035428667135,6.35296267785385,-0.0415971155274919,0.203719918982153,0.613261233381539,0.759606949587632,-0.0735264332021639
27,6787.72291720415,0.000591808329104377,1.69349746591999,6.28035428660364,6.3557008052546,-0.0432049360531519,0.179117508362565,0.601441687866431,0.767382183408607,-0.131565188714207
28,6787.72158826374,0.000591683761890348,1.69349746401819,6.28035428654642,6.35843983339929,-0.0448136573647145,0.154044238391182,0.585769857429652,0.772995550024793,-0.188737718506908
29,6787.72021023032,0.000591554564365795,1.69349746255396,6.2803542865007,6.36117979633024,-0.0464233135060387,0.128789706180025,0.566309344850885,0.776374714796586,-0.244845338410076
30,6787.71878311364,0.000591420739286165,1.69349746152824,6.28035428646752,6.36392072783313,-0.0480339382643651,0.103641170898245,0.543153331872825,0.777447719285636,-0.299696529088765
31,6787.71730692317,0.000591282289404921,1.69349746094166,6.28035428644789,6.36666266144208,-0.0496455651753516,0.078881281696006,0.516424335209177,0.776143597552294,-0.35310730009494
32,6787.71578166507,0.000591139217013917,1.69349746079464,6.28035428644284,6.36940563021784,-0.0512582273012902,0.0547858110859752,0.486273840398725,0.77239305098092,-0.404901521167694
33,6787.71420734137,0.00059099152383174,1.69349746108782,6.28035428645338,6.37214966697916,-0.0528719574624771,0.0316213945805124,0.452881810276148,0.766129188017581,-0.454911222760337
